DriverNumber,BroadcastName,Abbreviation,TeamName,Position,GridPosition,Points,Status,Year,RoundNumber,EventName,QualifyingPosition,QDelta
10,P GASLY,GAS,AlphaTauri,1.0,10.0,25.0,Finished,2020,8,Italian Grand Prix,10.0,0.0129552397733467
55,C SAINZ,SAI,McLaren,2.0,3.0,18.0,Finished,2020,8,Italian Grand Prix,3.0,0.0102424987640548
18,L STROLL,STR,Racing Point,3.0,8.0,15.0,Finished,2020,8,Italian Grand Prix,8.0,0.0131453851711943
4,L NORRIS,NOR,McLaren,4.0,6.0,12.0,Finished,2020,8,Italian Grand Prix,6.0,0.0118270437461177
77,V BOTTAS,BOT,Mercedes,5.0,2.0,10.0,Finished,2020,8,Italian Grand Prix,2.0,0.0008239633906727
3,D RICCIARDO,RIC,Renault,6.0,7.0,8.0,Finished,2020,8,Italian Grand Prix,7.0,0.012384803579804
44,L HAMILTON,HAM,Mercedes,7.0,1.0,7.0,Finished,2020,8,Italian Grand Prix,1.0,0.0
31,E OCON,OCO,Renault,8.0,12.0,4.0,Finished,2020,8,Italian Grand Prix,12.0,0.0170750567267102
26,D KVYAT,KVY,AlphaTauri,9.0,11.0,2.0,Finished,2020,8,Italian Grand Prix,11.0,0.0162510933360375
11,S PEREZ,PER,Racing Point,10.0,4.0,1.0,Finished,2020,8,Italian Grand Prix,4.0,0.0105340550407545
6,N LATIFI,LAT,Williams,11.0,20.0,0.0,Finished,2020,8,Italian Grand Prix,20.0,0.0358740983939051
8,R GROSJEAN,GRO,Haas F1 Team,12.0,16.0,0.0,Finished,2020,8,Italian Grand Prix,16.0,0.028547162396846
7,K RAIKKONEN,RAI,Alfa Romeo Racing,13.0,14.0,0.0,Finished,2020,8,Italian Grand Prix,14.0,0.0258470977474108
63,G RUSSELL,RUS,Williams,14.0,19.0,0.0,Finished,2020,8,Italian Grand Prix,19.0,0.0342261716125597
23,A ALBON,ALB,Red Bull Racing,15.0,9.0,0.0,Finished,2020,8,Italian Grand Prix,9.0,0.0149200755511046
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,16.0,18.0,0.0,Finished,2020,8,Italian Grand Prix,18.0,0.0293964785072318
33,M VERSTAPPEN,VER,Red Bull Racing,17.0,5.0,0.0,Power Unit,2020,8,Italian Grand Prix,5.0,0.0113199893518577
16,C LECLERC,LEC,Ferrari,18.0,13.0,0.0,Accident,2020,8,Italian Grand Prix,13.0,0.0175694347611139
20,K MAGNUSSEN,MAG,Haas F1 Team,19.0,15.0,0.0,Power Unit,2020,8,Italian Grand Prix,15.0,0.0251245452355901
5,S VETTEL,VET,Ferrari,20.0,17.0,0.0,Brakes,2020,8,Italian Grand Prix,17.0,0.0286992787151241
44,L HAMILTON,HAM,Mercedes,1.0,1.0,26.0,Finished,2020,9,Tuscan Grand Prix,1.0,0.0
77,V BOTTAS,BOT,Mercedes,2.0,2.0,18.0,Finished,2020,9,Tuscan Grand Prix,2.0,0.0007851591610773
23,A ALBON,ALB,Red Bull Racing,3.0,4.0,15.0,Finished,2020,9,Tuscan Grand Prix,4.0,0.0102469924411795
3,D RICCIARDO,RIC,Renault,4.0,8.0,12.0,Finished,2020,9,Tuscan Grand Prix,8.0,0.0146252528478652
11,S PEREZ,PER,Racing Point,5.0,7.0,10.0,Finished,2020,9,Tuscan Grand Prix,6.0,0.0155301820504631
4,L NORRIS,NOR,McLaren,6.0,11.0,8.0,Finished,2020,9,Tuscan Grand Prix,11.0,0.0199084424571488
26,D KVYAT,KVY,AlphaTauri,7.0,12.0,6.0,Finished,2020,9,Tuscan Grand Prix,12.0,0.0227563078888533
